                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74694,                0.85657,                 1.0223,                 0.8929,                0.77699,                0.88909,                0.68631,                0.80196,                0.91206,                 1.0744,              0.0011224,              0.0011224,              0.0011224
                     36,                0.73504,                0.78633,                 1.0002,                0.89173,                0.80349,                0.86868,                0.69354,                0.74554,                0.82359,                 1.0478,              0.0011059,              0.0011059,              0.0011059
                     37,                0.77795,                0.90295,                 1.0351,                 0.9435,                0.82323,                0.90404,                0.73197,                0.71063,                0.76103,                 1.0357,              0.0010894,              0.0010894,              0.0010894
                     38,                0.73865,                0.80626,                 1.0375,                0.91812,                0.81672,                0.89431,                0.71859,                0.71121,                0.78663,                 1.0344,              0.0010729,              0.0010729,              0.0010729
                     39,                0.74436,                0.76337,                 1.0004,                0.93435,                0.77921,                0.88025,                0.68503,                0.78657,                0.87862,                 1.0707,              0.0010564,              0.0010564,              0.0010564
                     40,                0.73826,                0.77369,                0.99841,                 0.8403,                0.82525,                0.88383,                0.68021,                 0.7948,                0.82525,                 1.0926,              0.0010399,              0.0010399,              0.0010399
                     41,                 0.7282,                 0.7477,                 1.0235,                 0.9044,                0.78565,                0.86387,                0.68165,                0.76724,                0.81686,                  1.064,              0.0010234,              0.0010234,              0.0010234
                     42,                0.70688,                0.69552,                0.99762,                0.90359,                0.83232,                0.88551,                0.71492,                0.70369,                0.78201,                 1.0339,              0.0010069,              0.0010069,              0.0010069
                     43,                0.71741,                0.73426,                 1.0182,                0.89106,                0.79279,                0.87561,                0.71976,                0.69997,                0.75451,                 1.0193,             0.00099036,             0.00099036,             0.00099036
                     44,                0.70262,                0.66908,                 0.9797,                0.81122,                0.77879,                0.83647,                0.68537,                0.70167,                0.84451,                 1.0258,             0.00097386,             0.00097386,             0.00097386
                     45,                 0.7006,                0.72653,                 1.0046,                0.90258,                0.76566,                0.84533,                0.67905,                0.71275,                0.87693,                 1.0433,             0.00095736,             0.00095736,             0.00095736
                     46,                0.68337,                0.66728,                0.99557,                0.93049,                0.81911,                0.89805,                0.73296,                0.70916,                0.74446,                 1.0258,             0.00094085,             0.00094085,             0.00094085
                     47,                0.67062,                0.68133,                 1.0168,                0.89443,                0.83232,                0.89863,                0.73061,                0.68465,                0.73544,                 1.0117,             0.00092435,             0.00092435,             0.00092435
                     48,                0.73809,                0.71538,                0.99478,                0.89742,                0.84343,                0.89217,                0.71709,                0.70447,                0.73341,                 1.0276,             0.00090785,             0.00090785,             0.00090785
                     49,                0.69675,                0.69538,                0.99889,                0.90292,                0.72525,                  0.851,                0.68612,                0.70692,                0.82724,                 1.0129,             0.00089134,             0.00089134,             0.00089134
                     50,                0.65039,                0.64298,                0.97609,                0.91154,                0.79891,                0.89638,                0.73508,                0.64729,                0.71356,                0.98468,             0.00087484,             0.00087484,             0.00087484
                     51,                0.66459,                0.64039,                0.99038,                0.93185,                0.79307,                0.90625,                0.74704,                0.63535,                0.66854,                 1.0288,             0.00085834,             0.00085834,             0.00085834
                     52,                 0.6654,                0.66189,                0.96925,                0.88479,                0.90401,                0.92107,                0.74863,                0.69272,                0.68537,                 1.0192,             0.00084184,             0.00084184,             0.00084184
                     53,                0.65474,                0.66588,                0.95279,                0.88831,                0.78978,                0.86872,                0.71526,                0.69387,                0.79955,                 1.0317,             0.00082533,             0.00082533,             0.00082533
                     54,                0.69251,                0.66008,                0.99095,                0.90628,                0.73568,                0.82702,                0.68979,                 0.6982,                0.85637,                 1.0271,             0.00080883,             0.00080883,             0.00080883
                     55,                 0.6434,                 0.6135,                0.96924,                0.80877,                0.87879,                0.87913,                0.73956,                0.68168,                0.74661,                0.99561,             0.00079233,             0.00079233,             0.00079233
                     56,                 0.6363,                0.67011,                0.97732,                 0.9145,                0.83434,                 0.8949,                0.73067,                0.67945,                0.71652,                 1.0008,             0.00077582,             0.00077582,             0.00077582
                     57,                0.62956,                0.61295,                0.95272,                0.91624,                0.81212,                0.88246,                0.72461,                0.66466,                0.71768,                0.99943,             0.00075932,             0.00075932,             0.00075932
                     58,                0.70119,                0.62736,                0.95696,                0.91308,                0.83693,                0.88917,                0.73335,                0.67204,                0.69799,                0.99848,             0.00074282,             0.00074282,             0.00074282
                     59,                0.67146,                0.59695,                0.97349,                0.89734,                0.79025,                0.88037,                0.71639,                0.68575,                0.70495,                 1.0059,             0.00072631,             0.00072631,             0.00072631
                     60,                 0.6293,                 0.6351,                0.97406,                0.88163,                 0.8183,                0.87817,                0.69817,                0.72439,                0.74629,                 1.0436,             0.00070981,             0.00070981,             0.00070981
                     61,                0.67607,                 0.6326,                0.98318,                0.89267,                0.80808,                0.87283,                0.71322,                0.69754,                0.71611,                  1.028,             0.00069331,             0.00069331,             0.00069331
                     62,                0.64718,                0.64197,                0.97975,                0.91832,                0.82828,                0.89707,                0.72655,                0.71429,                0.73938,                 1.0214,              0.0006768,              0.0006768,              0.0006768
                     63,                 0.5901,                0.56391,                0.94062,                0.95812,                0.79676,                0.87596,                0.73919,                0.66243,                0.69758,                0.97992,              0.0006603,              0.0006603,              0.0006603
                     64,                0.58215,                0.55848,                0.96584,                0.93431,                0.80808,                0.87271,                0.72386,                0.67034,                0.67236,                 1.0088,              0.0006438,              0.0006438,              0.0006438
                     65,                0.61995,                0.67411,                0.96492,                0.96278,                0.77677,                0.88951,                0.72168,                0.69171,                0.67129,                 1.0332,             0.00062729,             0.00062729,             0.00062729
                     66,                0.60555,                0.55056,                0.94791,                0.92769,                0.84094,                0.91947,                0.73447,                0.68027,                0.62812,                 1.0163,             0.00061079,             0.00061079,             0.00061079
                     67,                0.59761,                0.57401,                0.94319,                0.92079,                0.84004,                0.91819,                0.73508,                0.67246,                0.61595,                 1.0142,             0.00059429,             0.00059429,             0.00059429
                     68,                  0.551,                 0.5304,                 0.9474,                 0.9611,                0.80704,                0.90114,                0.73144,                0.67222,                 0.6253,                 1.0063,             0.00057778,             0.00057778,             0.00057778
                     69,                0.59928,                 0.5439,                0.94884,                0.94853,                0.81913,                0.90701,                0.74949,                 0.6602,                0.59349,                 1.0069,             0.00056128,             0.00056128,             0.00056128
                     70,                0.56477,                0.53515,                0.93259,                0.95487,                0.83757,                0.89559,                0.75052,                0.64984,                0.62205,                 1.0013,             0.00054478,             0.00054478,             0.00054478
                     71,                0.59545,                0.55724,                0.99113,                0.92833,                0.82707,                0.89188,                0.74141,                0.64774,                0.60719,                  1.001,             0.00052827,             0.00052827,             0.00052827
                     72,                0.57922,                0.51963,                0.94587,                0.93589,                0.82775,                0.88598,                 0.7477,                0.64131,                0.61544,                0.99899,             0.00051177,             0.00051177,             0.00051177
                     73,                0.57636,                 0.5194,                0.93826,                 0.8609,                0.86349,                0.89438,                0.74736,                0.65795,                0.61518,                 1.0096,             0.00049527,             0.00049527,             0.00049527
                     74,                0.56849,                0.52989,                0.93998,                0.94899,                0.82632,                0.89472,                0.73048,                0.68051,                0.61763,                 1.0266,             0.00047876,             0.00047876,             0.00047876
                     75,                0.56459,                0.51334,                0.95081,                0.93304,                0.83842,                0.89498,                0.72931,                0.68502,                0.63842,                 1.0305,             0.00046226,             0.00046226,             0.00046226
                     76,                0.57005,                0.53065,                0.94499,                0.94657,                0.80753,                0.89621,                0.72726,                0.68704,                0.63411,                 1.0317,             0.00044576,             0.00044576,             0.00044576
                     77,                0.58213,                0.51664,                0.94736,                0.91464,                0.80808,                0.89883,                 0.7396,                0.67988,                 0.6554,                 1.0144,             0.00042925,             0.00042925,             0.00042925
                     78,                 0.6012,                0.49532,                 0.9185,                0.88413,                0.84677,                0.88774,                0.73082,                 0.6621,                0.64256,                 1.0028,             0.00041275,             0.00041275,             0.00041275
                     79,                0.53999,                 0.4903,                0.91529,                0.93814,                0.79899,                0.87593,                0.72421,                 0.6556,                0.63175,                 1.0039,             0.00039625,             0.00039625,             0.00039625
                     80,                 0.5395,                 0.4855,                0.92609,                0.93099,                0.85253,                0.90332,                0.73143,                0.67607,                0.63123,                  1.016,             0.00037974,             0.00037974,             0.00037974
                     81,                0.57288,                0.51119,                0.93028,                0.93903,                0.84141,                0.91419,                0.73832,                0.66569,                0.60334,                 1.0079,             0.00036324,             0.00036324,             0.00036324
                     82,                0.51781,                0.46047,                0.90995,                0.94109,                0.82695,                0.90729,                0.74301,                0.64072,                0.58636,                 1.0056,             0.00034674,             0.00034674,             0.00034674
                     83,                 0.5246,                 0.4822,                0.91575,                0.92147,                0.81821,                0.89081,                0.74536,                0.64101,                 0.5933,                 1.0038,             0.00033023,             0.00033023,             0.00033023
